GEO_ID,NAME,P2_001N,P2_002N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N
Geography,Geographic Area Name,Total,Hispanic or Latino total,White total,Black or African American total,American Indian and Alaska Native total,Asian total,Native Hawaiian and Other Pacific Islander total,Some Other Race total,Two or more races total
0500000US08069,"Larimer County, Colorado",359066,44662,282581,3448,1495,8365,265,1819,16431
0500000US08071,"Las Animas County, Colorado",14555,5632,7965,183,145,108,12,87,423
0500000US08073,"Lincoln County, Colorado",5675,809,4252,275,61,40,22,21,195
0500000US08075,"Logan County, Colorado",21528,3511,16337,753,161,119,17,52,578
0500000US08077,"Mesa County, Colorado",155703,23278,120749,1020,933,1613,188,889,7033
0500000US08079,"Mineral County, Colorado",865,47,775,0,4,3,0,0,36
0500000US08081,"Moffat County, Colorado",13292,2124,10313,77,98,52,2,60,566
0500000US08083,"Montezuma County, Colorado",25849,3109,18035,72,3166,128,24,107,1208
0500000US08085,"Montrose County, Colorado",42679,9027,31126,159,262,334,26,183,1562
0500000US08087,"Morgan County, Colorado",29111,10566,16546,935,110,153,11,77,713
0500000US08089,"Otero County, Colorado",18690,7702,10013,134,112,98,28,103,500
0500000US08091,"Ouray County, Colorado",4874,292,4308,16,16,28,2,24,188
0500000US08093,"Park County, Colorado",17390,1235,14902,89,118,99,9,94,844
0500000US08095,"Phillips County, Colorado",4530,1155,3246,10,12,22,1,5,79
0500000US08097,"Pitkin County, Colorado",17358,1892,14433,94,36,280,7,82,534
0500000US08099,"Prowers County, Colorado",11999,4680,6686,83,118,31,6,50,345
0500000US08101,"Pueblo County, Colorado",168162,69921,85527,2995,1246,1562,138,944,5829
0500000US08103,"Rio Blanco County, Colorado",6529,622,5509,29,51,22,2,29,265
0500000US08105,"Rio Grande County, Colorado",11539,4609,6261,51,137,36,4,56,385
0500000US08107,"Routt County, Colorado",24829,2200,21242,153,67,169,35,92,871
0500000US08109,"Saguache County, Colorado",6368,2394,3578,19,81,63,2,42,189
0500000US08111,"San Juan County, Colorado",705,90,575,1,6,2,0,1,30
0500000US08113,"San Miguel County, Colorado",8072,882,6757,20,47,55,0,44,267
0500000US08115,"Sedgwick County, Colorado",2404,363,1934,3,10,12,0,8,74
0500000US08117,"Summit County, Colorado",31055,5335,23782,232,67,407,20,150,1062
0500000US08119,"Teller County, Colorado",24710,1716,21017,132,122,201,12,148,1362
0500000US08121,"Washington County, Colorado",4817,516,4057,24,8,15,10,20,167
0500000US08123,"Weld County, Colorado",328981,98462,205881,4154,1327,5682,303,1305,11867
0500000US08125,"Yuma County, Colorado",9988,2771,6948,21,16,26,2,27,177
0500000US09001,"Fairfield County, Connecticut",957419,205351,552125,99992,858,50751,173,11232,36937
0500000US09003,"Hartford County, Connecticut",899498,166275,523105,118154,1166,53325,172,5659,31642
0500000US09005,"Litchfield County, Connecticut",185186,14580,155601,2957,268,3434,63,931,7352
